Addendum AA -- ASC Covered Surgical Procedures for CY 2025                                                                                                                            (Including Surgical Procedures for Which Payment is Packaged),,,,,,
CPT codes and descriptions only are copyright 2024 American Medical Association.ÿ All Rights Reserved.ÿ Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2024 American Dental Association.ÿ All Rights Reserved.,,,,,,
,,,,,,
HCPCS Code,,Short Descriptor,Subject to Multiple Procedure Discounting,January 2025 Payment Indicator,January 2025  Payment Weight  ,January 2025 Payment Rate 
36513,,Apheresis platelets,N,R2,4.3167,$236.97
36514,,Apheresis plasma,N,G2,16.0237,$879.62
36516,,Apheresis immunoads slctv,N,P3,,"$2,010.33"
36522,,Photopheresis,N,G2,45.82,"$2,515.29"
36555,,Insert non-tunnel cv cath,Y,A2,28.9406,"$1,588.69"
36556,,Insert non-tunnel cv cath,Y,A2,28.9406,"$1,588.69"
36557,,Insert tunneled cv cath,Y,A2,54.8238,"$3,009.55"
36558,,Insert tunneled cv cath,Y,A2,28.9406,"$1,588.69"
36560,,Insert tunneled cv cath,Y,G2,28.9406,"$1,588.69"
36561,,Insert tunneled cv cath,Y,A2,28.9406,"$1,588.69"
36563,,Insert tunneled cv cath,Y,A2,54.8238,"$3,009.55"
36565,,Insert tunneled cv cath,Y,A2,28.9406,"$1,588.69"
36566,,Insert tunneled cv cath,Y,A2,54.8238,"$3,009.55"
36568,,Insj picc <5 yr w/o imaging,Y,A2,11.5201,$632.40
36569,,Insj picc 5 yr+ w/o imaging,Y,A2,11.5201,$632.40
36570,,Insert picvad cath,Y,A2,28.9406,"$1,588.69"
36571,,Insert picvad cath,Y,A2,28.9406,"$1,588.69"
36572,,Insj picc rs&i <5 yr,Y,G2,6.0535,$332.31
36573,,Insj picc rs&i 5 yr+,Y,G2,11.5201,$632.40
36575,,Repair tunneled cv cath,Y,A2,6.0535,$332.31
36576,,Repair tunneled cv cath,Y,A2,11.5201,$632.40
36578,,Replace tunneled cv cath,Y,J8,36.5715,"$2,007.59"
36580,,Replace cvad cath,Y,G2,11.5201,$632.40
36581,,Replace tunneled cv cath,Y,J8,36.7886,"$2,019.51"
36582,,Replace tunneled cv cath,Y,A2,28.9406,"$1,588.69"
36583,,Replace tunneled cv cath,Y,J8,96.2315,"$5,282.63"
36584,,Compl rplcmt picc rs&i,Y,A2,11.5201,$632.40
36585,,Replace picvad cath,Y,A2,28.9406,"$1,588.69"
36589,,Removal tunneled cv cath,N,A2,6.0535,$332.31
36590,,Removal tunneled cv cath,N,A2,11.5201,$632.40
36591,,Draw blood off venous device,N,N1,,
36592,,Collect blood from picc,N,N1,,
36593,,Declot vascular device,Y,P3,,$32.99
36595,,Mech remov tunneled cv cath,Y,P3,,$421.15
36596,,Mech remov tunneled cv cath,Y,G2,11.5201,$632.40
36597,,Reposition venous catheter,Y,G2,11.5201,$632.40
36598,,Inj w/fluor eval cv device,Y,P3,,$86.69
36600,,Withdrawal of arterial blood,N,N1,,
36620,,Insertion catheter artery,N,N1,,
36625,,Insertion catheter artery,N,N1,,
36640,,Insertion catheter artery,Y,A2,28.9406,"$1,588.69"
36680,,Insert needle bone cavity,N,N1,,
36800,,Insertion of cannula,Y,G2,54.8238,"$3,009.55"
36810,,Insertion of cannula,Y,J8,36.846,"$2,022.66"
36815,,Insertion of cannula,Y,A2,54.8238,"$3,009.55"
36818,,Av fuse uppr arm cephalic,Y,A2,54.8238,"$3,009.55"
36819,,Av fuse uppr arm basilic,Y,A2,54.8238,"$3,009.55"
36820,,Av fusion/forearm vein,Y,A2,54.8238,"$3,009.55"
36821,,Av fusion direct any site,Y,A2,28.9406,"$1,588.69"
36825,,Artery-vein autograft,Y,A2,54.8238,"$3,009.55"
36830,,Artery-vein nonautograft,Y,A2,54.8238,"$3,009.55"
36831,,Open thrombect av fistula,Y,A2,54.8238,"$3,009.55"
36832,,Av fistula revision open,Y,A2,54.8238,"$3,009.55"
36833,,Av fistula revision,Y,A2,54.8238,"$3,009.55"
36835,,Insertion thomas shunt,Y,J8,41.4604,"$2,275.97"
36836,,Prq av fstl crtj uxtr 1 acs,Y,J8,210.7864,"$11,571.12"
36837,,Prq av fstl crt uxtr sep acs,Y,J8,206.3563,"$11,327.93"
36860,,External cannula declotting,Y,A2,11.5201,$632.40
36861,,Cannula declotting,Y,J8,79.747,"$4,377.71"
36901,,Intro cath dialysis circuit,Y,P3,,$528.22
36902,,Intro cath dialysis circuit,Y,G2,47.9028,"$2,629.62"
36903,,Intro cath dialysis circuit,Y,J8,133.9166,"$7,351.35"
36904,,Thrmbc/nfs dialysis circuit,Y,J8,64.0463,"$3,515.82"
36905,,Thrmbc/nfs dialysis circuit,Y,J8,118.2457,"$6,491.10"
36906,,Thrmbc/nfs dialysis circuit,Y,J8,214.65,"$11,783.21"
36907,,Balo angiop ctr dialysis seg,N,N1,,
36908,,Stent plmt ctr dialysis seg,N,N1,,
36909,,Dialysis circuit embolj,N,N1,,
37184,,Prim art m-thrmbc 1st vsl,Y,J8,217.5604,"$11,942.98"
37185,,Prim art m-thrmbc sbsq vsl,N,N1,,
37186,,Sec art thrombectomy add-on,N,N1,,
37187,,Venous mech thrombectomy,Y,J8,142.0962,"$7,800.37"
37188,,Ven mechnl thrmbc repeat tx,Y,J8,48.5594,"$2,665.67"
37192,,Redo endovas vena cava filtr,Y,J8,39.4254,"$2,164.26"
37193,,Rem endovas vena cava filter,Y,G2,28.9406,"$1,588.69"
37197,,Remove intrvas foreign body,Y,G2,28.9406,"$1,588.69"
37200,,Transcatheter biopsy,Y,G2,54.8238,"$3,009.55"
37211,,Thrombolytic art therapy,Y,J8,72.6328,"$3,987.18"
37212,,Thrombolytic venous therapy,Y,G2,28.9406,"$1,588.69"
37220,,Iliac revasc,Y,J8,62.4015,"$3,425.53"
37221,,Iliac revasc w/stent,Y,J8,130.7232,"$7,176.05"
37222,,Iliac revasc add-on,N,N1,,
37223,,Iliac revasc w/stent add-on,N,N1,,
37224,,Fem/popl revas w/tla,Y,J8,66.3029,"$3,639.70"
37225,,Fem/popl revas w/ather,Y,J8,226.7043,"$12,444.93"
37226,,Fem/popl revasc w/stent,Y,J8,138.0623,"$7,578.93"
37227,,Fem/popl revasc stnt & ather,Y,J8,228.4301,"$12,539.67"
37228,,Tib/per revasc w/tla,Y,J8,120.2865,"$6,603.13"
37229,,Tib/per revasc w/ather,Y,J8,215.9636,"$11,855.32"
37230,,Tib/per revasc w/stent,Y,J8,208.3782,"$11,438.92"
37231,,Tib/per revasc stent & ather,Y,J8,223.3559,"$12,261.12"
37232,,Tib/per revasc add-on,N,N1,,
37233,,Tibper revasc w/ather add-on,N,N1,,
37234,,Revsc opn/prq tib/pero stent,N,N1,,
37235,,Tib/per revasc stnt & ather,N,N1,,
37236,,Open/perq place stent 1st,Y,J8,127.9619,"$7,024.47"
37237,,Open/perq place stent ea add,N,N1,,
37238,,Open/perq place stent same,Y,J8,129.3786,"$7,102.24"
37239,,Open/perq place stent ea add,N,N1,,
37241,,Vasc embolize/occlude venous,Y,J8,117.5734,"$6,454.19"
37242,,Vasc embolize/occlude artery,Y,J8,216.0667,"$11,860.98"
37243,,Vasc embolize/occlude organ,Y,J8,118.958,"$6,530.20"
37246,,Trluml balo angiop 1st art,Y,J8,62.3436,"$3,422.35"
37247,,Trluml balo angiop addl art,N,N1,,
37248,,Trluml balo angiop 1st vein,Y,J8,60.496,"$3,320.93"
37249,,Trluml balo angiop addl vein,N,N1,,
37252,,Intrvasc us noncoronary 1st,N,N1,,
37253,,Intrvasc us noncoronary addl,N,N1,,
37500,,Endoscopy ligate perf veins,Y,A2,54.8238,"$3,009.55"
37607,,Lig/banding angioacs av fstl,Y,A2,28.9406,"$1,588.69"
37609,,Ligation/bx temporal artery,Y,A2,12.9024,$708.28
37650,,Ligation of femoral vein,Y,A2,28.9406,"$1,588.69"
37700,,Ligation&div long saph vein,Y,A2,28.9406,"$1,588.69"
37718,,Lig div&strpg short saph vn,Y,A2,28.9406,"$1,588.69"
37722,,Lig div&strpg long saph vein,Y,A2,28.9406,"$1,588.69"
37735,,Lig&div&compl strpg saph vn,Y,A2,28.9406,"$1,588.69"
37760,,Lig prfratr vn radical 1 leg,Y,A2,28.9406,"$1,588.69"
37761,,Ligate leg veins open,Y,R2,28.9406,"$1,588.69"
37765,,Stab phleb veins xtr 10-20,Y,P3,,$207.66
37766,,Phleb veins - extrem 20+,Y,P3,,$233.22
37780,,Revision of leg vein,Y,A2,28.9406,"$1,588.69"
37785,,Ligate/divide/excise vein,Y,A2,28.9406,"$1,588.69"
37790,,Penile venous occlusion,Y,A2,30.1542,"$1,655.31"
38200,,Injection for spleen x-ray,N,N1,,
38204,,Bl donor search management,N,N1,,
38206,,Harvest auto stem cells,N,G2,16.0237,$879.62
38220,,Dx bone marrow aspirations,Y,P3,,$110.63
38221,,Dx bone marrow biopsies,Y,P3,,$111.27
38222,,Dx bone marrow bx & aspir,Y,G2,21.8945,"$1,201.90"
38230,,Bone marrow harvest allogen,N,G2,16.0237,$879.62
38232,,Bone marrow harvest autolog,N,R2,45.82,"$2,515.29"
38241,,Transplt autol hct/donor,N,G2,16.0237,$879.62
38242,,Transplt allo lymphocytes,N,R2,16.0237,$879.62
38243,,Transplj hematopoietic boost,N,R2,16.0237,$879.62
38300,,Drainage lymph node lesion,Y,A2,21.8945,"$1,201.90"
38305,,Drainage lymph node lesion,Y,A2,21.8945,"$1,201.90"
38308,,Incision of lymph channels,Y,A2,28.0181,"$1,538.05"
38500,,Biopsy/removal lymph nodes,Y,A2,28.0181,"$1,538.05"
38505,,Needle biopsy lymph nodes,Y,A2,12.9024,$708.28
38510,,Biopsy/removal lymph nodes,Y,A2,28.0181,"$1,538.05"
38520,,Biopsy/removal lymph nodes,Y,A2,28.0181,"$1,538.05"
38525,,Biopsy/removal lymph nodes,Y,A2,28.0181,"$1,538.05"
38530,,Biopsy/removal lymph nodes,Y,A2,28.0181,"$1,538.05"
38531,,Open bx/exc inguinofem nodes,Y,G2,28.0181,"$1,538.05"
38542,,Explore deep node(s) neck,Y,A2,52.1053,"$2,860.32"
38550,,Removal neck/armpit lesion,Y,A2,28.0181,"$1,538.05"
38555,,Removal neck/armpit lesion,Y,A2,48.8642,"$2,682.40"
38570,,Laparoscopy lymph node biop,Y,A2,52.1053,"$2,860.32"
38571,,Laparoscopy lymphadenectomy,Y,A2,89.1884,"$4,896.00"
38572,,Laparoscopy lymphadenectomy,Y,A2,89.1884,"$4,896.00"
38573,,Laps pelvic lymphadec,Y,G2,89.1884,"$4,896.00"
38700,,Removal of lymph nodes neck,Y,G2,48.8642,"$2,682.40"
38740,,Remove armpit lymph nodes,Y,A2,52.1053,"$2,860.32"
38745,,Remove armpit lymph nodes,Y,A2,52.1053,"$2,860.32"
38760,,Remove groin lymph nodes,Y,A2,48.8642,"$2,682.40"
38790,,Inject for lymphatic x-ray,N,N1,,
38792,,Ra tracer id of sentinl node,N,N1,,
38794,,Access thoracic lymph duct,N,N1,,
38900,,Io map of sent lymph node,N,N1,,
40490,,Biopsy of lip,Y,P3,,$74.72
40500,,Partial excision of lip,Y,A2,25.4021,"$1,394.45"
40510,,Partial excision of lip,Y,A2,25.4021,"$1,394.45"
40520,,Partial excision of lip,Y,A2,25.4021,"$1,394.45"
40525,,Reconstruct lip with flap,Y,A2,25.4021,"$1,394.45"
40527,,Reconstruct lip with flap,Y,A2,53.1441,"$2,917.35"
40530,,Partial removal of lip,Y,A2,25.4021,"$1,394.45"
40650,,Rpr lip fth vermilion only,Y,A2,4.9739,$273.04
40652,,Rpr lip fth<half ver height,Y,A2,4.9739,$273.04
40654,,Rpr lip fth>1half ver ht/cpx,Y,A2,11.9753,$657.38
40700,,Repair cleft lip/nasal,Y,A2,53.1441,"$2,917.35"
40701,,Repair cleft lip/nasal,Y,A2,53.1441,"$2,917.35"
40702,,Repair cleft lip/nasal,Y,R2,53.1441,"$2,917.35"
40720,,Repair cleft lip/nasal,Y,A2,25.4021,"$1,394.45"
40761,,Repair cleft lip/nasal,Y,A2,53.1441,"$2,917.35"
40800,,Drainage of mouth lesion,Y,P3,,$153.97
40801,,Drainage of mouth lesion,Y,A2,4.9739,$273.04
40804,,Removal foreign body mouth,N,N1,,
40805,,Removal foreign body mouth,Y,P3,,$180.82
40806,,Incision of lip fold,Y,P3,,$86.04
40808,,Biopsy of mouth lesion,Y,P3,,$125.18
40810,,Excision of mouth lesion,Y,P3,,$159.14
40812,,Excise/repair mouth lesion,Y,P3,,$183.08
40814,,Excise/repair mouth lesion,Y,A2,25.4021,"$1,394.45"
40816,,Excision of mouth lesion,Y,A2,25.4021,"$1,394.45"
40818,,Excise oral mucosa for graft,Y,A2,4.9739,$273.04
40819,,Excise lip or cheek fold,Y,A2,11.9753,$657.38
40820,,Treatment of mouth lesion,Y,P3,,$198.61
40830,,Repair mouth laceration,Y,P2,2.2612,$124.13
40831,,Repair mouth laceration,Y,A2,4.9739,$273.04
40840,,Reconstruction of mouth,Y,A2,53.1441,"$2,917.35"
40842,,Reconstruction of mouth,Y,A2,53.1441,"$2,917.35"
40843,,Reconstruction of mouth,Y,A2,53.1441,"$2,917.35"
40844,,Reconstruction of mouth,Y,A2,53.1441,"$2,917.35"
40845,,Reconstruction of mouth,Y,A2,53.1441,"$2,917.35"
41000,,Drainage of mouth lesion,Y,P3,,$95.10
41005,,Drainage of mouth lesion,Y,A2,2.2612,$124.13
41006,,Drainage of mouth lesion,Y,A2,11.9753,$657.38
41007,,Drainage of mouth lesion,Y,A2,11.9753,$657.38
41008,,Drainage of mouth lesion,Y,A2,25.4021,"$1,394.45"
41009,,Drainage of mouth lesion,Y,A2,4.9739,$273.04
41010,,Incision of tongue fold,Y,A2,11.9753,$657.38
41015,,Drainage of mouth lesion,Y,A2,4.9739,$273.04
41016,,Drainage of mouth lesion,Y,A2,53.1441,"$2,917.35"
41017,,Drainage of mouth lesion,Y,A2,25.4021,"$1,394.45"
41018,,Drainage of mouth lesion,Y,A2,11.9753,$657.38
41019,,Place needles h&n for rt,Y,G2,53.1441,"$2,917.35"
41100,,Biopsy of tongue,Y,P3,,$129.06
41105,,Biopsy of tongue,Y,P3,,$128.09
41108,,Biopsy of floor of mouth,Y,P3,,$122.27
41110,,Excision of tongue lesion,Y,P3,,$163.03
41112,,Excision of tongue lesion,Y,A2,25.4021,"$1,394.45"
41113,,Excision of tongue lesion,Y,A2,25.4021,"$1,394.45"
41114,,Excision of tongue lesion,Y,A2,25.4021,"$1,394.45"
41115,,Excision of tongue fold,Y,P3,,$183.73
41116,,Excision of mouth lesion,Y,A2,25.4021,"$1,394.45"
41120,,Partial removal of tongue,Y,A2,53.1441,"$2,917.35"
41250,,Repair tongue laceration,N,N1,,
41251,,Repair tongue laceration,Y,A2,2.2612,$124.13
41252,,Repair tongue laceration,Y,A2,2.2612,$124.13
41510,,Tongue to lip surgery,Y,A2,25.4021,"$1,394.45"
41512,,Tongue suspension,Y,J8,67.3584,"$3,697.64"
41520,,Reconstruction tongue fold,Y,A2,25.4021,"$1,394.45"
41530,,Tongue base vol reduction,Y,P3,,$732.32
41800,,Drainage of gum lesion,N,N1,,
41805,,Removal foreign body gum,Y,P3,,$245.19
41806,,Removal foreign body jawbone,Y,P3,,$291.77
41820,,Excision gum each quadrant,Y,R2,25.4021,"$1,394.45"
41821,,Excision of gum flap,Y,G2,11.9753,$657.38
41822,,Excision of gum lesion,Y,P3,,$252.30
41823,,Excision of gum lesion,Y,P3,,$371.66
41825,,Excision of gum lesion,Y,P3,,$161.09
41826,,Excision of gum lesion,Y,P3,,$204.75
41827,,Excision of gum lesion,Y,A2,53.1441,"$2,917.35"
41828,,Excision of gum lesion,Y,P3,,$224.16
41830,,Removal of gum tissue,Y,P3,,$323.14
41850,,Treatment of gum lesion,Y,R2,11.9753,$657.38
41870,,Periodontal mucosal grafting,Y,G2,11.9753,$657.38
41872,,Gingivoplasty each quadrant,Y,P3,,$344.49
41874,,Alveoloplasty each quadrant,Y,P3,,$266.21
42000,,Drainage mouth roof lesion,Y,A2,2.2612,$124.13
42100,,Biopsy roof of mouth,Y,P3,,$92.19
42104,,Excision lesion mouth roof,Y,P3,,$148.47
42106,,Excision lesion mouth roof,Y,P3,,$167.55
42107,,Excision lesion mouth roof,Y,A2,53.1441,"$2,917.35"
42120,,Remove palate/lesion,Y,A2,53.1441,"$2,917.35"
42140,,Excision of uvula,Y,A2,25.4021,"$1,394.45"
42145,,Repair palate pharynx/uvula,Y,A2,53.1441,"$2,917.35"
42160,,Treatment mouth roof lesion,Y,P3,,$150.09
42180,,Repair lac palate<2 cm,Y,A2,4.9739,$273.04
42182,,Repair palate,Y,A2,53.1441,"$2,917.35"
42200,,Reconstruct cleft palate,Y,A2,53.1441,"$2,917.35"
42205,,Reconstruct cleft palate,Y,A2,25.4021,"$1,394.45"
42210,,Reconstruct cleft palate,Y,A2,53.1441,"$2,917.35"
42215,,Reconstruct cleft palate,Y,A2,53.1441,"$2,917.35"
42220,,Reconstruct cleft palate,Y,A2,53.1441,"$2,917.35"
42225,,Reconstruct cleft palate,Y,G2,53.1441,"$2,917.35"
42226,,Lengthening of palate,Y,A2,53.1441,"$2,917.35"
42227,,Lengthening of palate,Y,G2,53.1441,"$2,917.35"
42235,,Repair palate,Y,A2,53.1441,"$2,917.35"
42260,,Repair nose to lip fistula,Y,A2,53.1441,"$2,917.35"
42280,,Preparation palate mold,Y,P3,,$114.18
42281,,Insertion palate prosthesis,Y,G2,53.1441,"$2,917.35"
42300,,Drainage of salivary gland,Y,A2,11.9753,$657.38
42305,,Drainage of salivary gland,Y,A2,25.4021,"$1,394.45"
42310,,Drainage of salivary gland,Y,A2,4.9739,$273.04
42320,,Drainage of salivary gland,Y,A2,4.9739,$273.04
42330,,Removal of salivary stone,Y,P3,,$144.59
42335,,Removal of salivary stone,Y,P3,,$291.12
42340,,Removal of salivary stone,Y,A2,25.4021,"$1,394.45"
42400,,Biopsy of salivary gland,Y,P3,,$63.72
42405,,Biopsy of salivary gland,Y,A2,11.9753,$657.38
42408,,Excision of salivary cyst,Y,A2,25.4021,"$1,394.45"
42409,,Drainage of salivary cyst,Y,A2,25.4021,"$1,394.45"
42410,,Excise parotid gland/lesion,Y,A2,53.1441,"$2,917.35"
42415,,Excise parotid gland/lesion,Y,A2,53.1441,"$2,917.35"
42420,,Excise parotid gland/lesion,Y,A2,53.1441,"$2,917.35"
42425,,Excise parotid gland/lesion,Y,A2,53.1441,"$2,917.35"
42440,,Excise submaxillary gland,Y,A2,53.1441,"$2,917.35"
42450,,Excise sublingual gland,Y,A2,53.1441,"$2,917.35"
42500,,Repair salivary duct,Y,A2,53.1441,"$2,917.35"
42505,,Repair salivary duct,Y,A2,53.1441,"$2,917.35"
42507,,Parotid duct diversion,Y,A2,53.1441,"$2,917.35"
42509,,Parotid duct diversion,Y,A2,53.1441,"$2,917.35"
42510,,Parotid duct diversion,Y,A2,25.4021,"$1,394.45"
42550,,Injection for salivary x-ray,N,N1,,
42600,,Closure of salivary fistula,Y,A2,25.4021,"$1,394.45"
42650,,Dilation of salivary duct,Y,P3,,$43.99
42660,,Dilation of salivary duct,Y,P3,,$54.99
42665,,Ligation of salivary duct,Y,A2,25.4021,"$1,394.45"
42700,,Drainage of tonsil abscess,Y,A2,2.2612,$124.13
42720,,Drainage of throat abscess,Y,A2,25.4021,"$1,394.45"
42725,,Drainage of throat abscess,Y,A2,53.1441,"$2,917.35"
42800,,Biopsy of throat,Y,P3,,$100.27
42804,,Biopsy of upper nose/throat,Y,A2,25.4021,"$1,394.45"
42806,,Biopsy of upper nose/throat,Y,A2,25.4021,"$1,394.45"
42808,,Excise pharynx lesion,Y,A2,25.4021,"$1,394.45"
42809,,Remove pharynx foreign body,N,N1,,
42810,,Excision of neck cyst,Y,A2,25.4021,"$1,394.45"
42815,,Excision of neck cyst,Y,A2,53.1441,"$2,917.35"
42820,,Remove tonsils and adenoids,Y,A2,53.1441,"$2,917.35"
42821,,Remove tonsils and adenoids,Y,A2,25.4021,"$1,394.45"
42825,,Removal of tonsils,Y,A2,53.1441,"$2,917.35"
42826,,Removal of tonsils,Y,A2,25.4021,"$1,394.45"
42830,,Removal of adenoids,Y,A2,25.4021,"$1,394.45"
42831,,Removal of adenoids,Y,A2,25.4021,"$1,394.45"
42835,,Removal of adenoids,Y,A2,25.4021,"$1,394.45"
42836,,Removal of adenoids,Y,A2,25.4021,"$1,394.45"
42860,,Excision of tonsil tags,Y,A2,25.4021,"$1,394.45"
42870,,Excision of lingual tonsil,Y,A2,53.1441,"$2,917.35"
42890,,Limited pharyngectomy,Y,A2,53.1441,"$2,917.35"
42892,,Revision of pharyngeal walls,Y,A2,53.1441,"$2,917.35"
42900,,Repair throat wound,Y,J8,20.1895,"$1,108.30"
42950,,Reconstruction of throat,Y,A2,53.1441,"$2,917.35"
42955,,Surgical opening of throat,Y,A2,11.9753,$657.38
42960,,Control throat bleeding,Y,A2,4.9739,$273.04
42962,,Control throat bleeding,Y,A2,25.4021,"$1,394.45"
42970,,Control nose/throat bleeding,Y,R2,2.2612,$124.13
42972,,Control nose/throat bleeding,Y,A2,25.4021,"$1,394.45"
42975,,Dise eval slp do brth flx dx,Y,R2,14.4301,$792.14
43030,,Cricopharyngeal myotomy,Y,G2,53.1441,"$2,917.35"
43130,,Removal of esophagus pouch,Y,G2,53.1441,"$2,917.35"
43180,,Esophagoscopy rigid trnso,Y,G2,53.1441,"$2,917.35"
43191,,Esophagoscopy rigid trnso dx,Y,G2,15.7418,$864.15
43192,,Esophagoscp rig trnso inject,Y,G2,15.7418,$864.15
43193,,Esophagoscp rig trnso biopsy,Y,G2,15.7418,$864.15
43194,,Esophagoscp rig trnso rem fb,Y,G2,15.7418,$864.15
43195,,Esophagoscopy rigid balloon,Y,G2,34.1709,"$1,875.81"
43196,,Esophagoscp guide wire dilat,Y,G2,15.7418,$864.15
43197,,Esophagoscopy flex dx brush,Y,P3,,$130.03
43198,,Esophagosc flex trnsn biopsy,Y,P3,,$140.06
43200,,Esophagoscopy flexible brush,Y,A2,9.17,$503.39
43201,,Esoph scope w/submucous inj,Y,A2,15.7418,$864.15
43202,,Esophagoscopy flex biopsy,Y,A2,15.7418,$864.15
43204,,Esoph scope w/sclerosis inj,Y,A2,15.7418,$864.15
43205,,Esophagus endoscopy/ligation,Y,A2,15.7418,$864.15
43206,,Esoph optical endomicroscopy,Y,G2,15.7418,$864.15
43210,,Egd esophagogastrc fndoplsty,Y,J8,129.8033,"$7,125.55"
43211,,Esophagoscop mucosal resect,Y,G2,15.7418,$864.15
43212,,Esophagoscop stent placement,Y,J8,73.2387,"$4,020.44"
43213,,Esophagoscopy retro balloon,Y,G2,15.7418,$864.15
43214,,Esophagosc dilate balloon 30,Y,G2,15.7418,$864.15
43215,,Esophagoscopy flex remove fb,Y,A2,15.7418,$864.15
43216,,Esophagoscopy lesion removal,Y,A2,15.7418,$864.15
43217,,Esophagoscopy snare les remv,Y,A2,15.7418,$864.15
43220,,Esophagoscopy balloon <30mm,Y,A2,15.7418,$864.15
43226,,Esoph endoscopy dilation,Y,A2,15.7418,$864.15
43227,,Esophagoscopy control bleed,Y,A2,15.7418,$864.15
43229,,Esophagoscopy lesion ablate,Y,J8,50.2949,"$2,760.94"
43231,,Esophagoscop ultrasound exam,Y,A2,15.7418,$864.15
43232,,Esophagoscopy w/us needle bx,Y,A2,15.7418,$864.15
43233,,Egd balloon dil esoph30 mm/>,Y,G2,15.7418,$864.15
43235,,Egd diagnostic brush wash,Y,A2,9.17,$503.39
43236,,Uppr gi scope w/submuc inj,Y,A2,9.17,$503.39
43237,,Endoscopic us exam esoph,Y,A2,15.7418,$864.15
43238,,Egd us fine needle bx/aspir,Y,A2,15.7418,$864.15
43239,,Egd biopsy single/multiple,Y,A2,9.17,$503.39
43240,,Egd w/transmural drain cyst,Y,J8,78.2966,"$4,298.09"
43241,,Egd tube/cath insertion,Y,A2,15.7418,$864.15
43242,,Egd us fine needle bx/aspir,Y,A2,15.7418,$864.15
43243,,Egd injection varices,Y,A2,15.7418,$864.15
43244,,Egd varices ligation,Y,A2,15.7418,$864.15
43245,,Egd dilate stricture,Y,A2,15.7418,$864.15
43246,,Egd place gastrostomy tube,Y,A2,15.7418,$864.15
43247,,Egd remove foreign body,Y,A2,9.17,$503.39
43248,,Egd guide wire insertion,Y,A2,9.17,$503.39
43249,,Esoph egd dilation <30 mm,Y,A2,15.7418,$864.15
43250,,Egd cautery tumor polyp,Y,A2,15.7418,$864.15
43251,,Egd remove lesion snare,Y,A2,15.7418,$864.15
43252,,Egd optical endomicroscopy,Y,G2,15.7418,$864.15
43253,,Egd us transmural injxn/mark,Y,G2,15.7418,$864.15
43254,,Egd endo mucosal resection,Y,G2,15.7418,$864.15
43255,,Egd control bleeding any,Y,A2,15.7418,$864.15
43257,,Egd w/thrml txmnt gerd,Y,J8,43.3754,"$2,381.09"
43259,,Egd us exam duodenum/jejunum,Y,A2,15.7418,$864.15
43260,,Ercp w/specimen collection,Y,A2,34.1709,"$1,875.81"
43261,,Endo cholangiopancreatograph,Y,A2,34.1709,"$1,875.81"
43262,,Endo cholangiopancreatograph,Y,A2,34.1709,"$1,875.81"
43263,,Ercp sphincter pressure meas,Y,A2,15.7418,$864.15
43264,,Ercp remove duct calculi,Y,A2,34.1709,"$1,875.81"
43265,,Ercp lithotripsy calculi,Y,A2,49.2625,"$2,704.26"
43266,,Egd endoscopic stent place,Y,J8,76.7283,"$4,212.00"
43270,,Egd lesion ablation,Y,J8,20.8988,"$1,147.24"
43273,,Endoscopic pancreatoscopy,N,N1,,
43274,,Ercp duct stent placement,Y,J8,64.7593,"$3,554.96"
43275,,Ercp remove forgn body duct,Y,G2,15.7418,$864.15
43276,,Ercp stent exchange w/dilate,Y,J8,64.5,"$3,540.73"
43277,,Ercp ea duct/ampulla dilate,Y,G2,34.1709,"$1,875.81"
43278,,Ercp lesion ablate w/dilate,Y,G2,34.1709,"$1,875.81"
43284,,Laps esophgl sphnctr agmntj,Y,J8,127.841,"$7,017.83"
43285,,Rmvl esophgl sphnctr dev,N,G2,52.1053,"$2,860.32"
43290,,Egd flx trnsorl dplmnt balo,Y,J8,23.1655,"$1,271.67"
43291,,Egd flx trnsorl rmvl balo,Y,G2,9.17,$503.39
43450,,Dilate esophagus 1/mult pass,Y,A2,9.17,$503.39
43453,,Dilate esophagus,Y,A2,15.7418,$864.15
43653,,Laparoscopy gastrostomy,Y,A2,52.1053,"$2,860.32"
43752,,Nasal/orogastric w/tube plmt,N,G2,3.8568,$211.72
43753,,Tx gastro intub w/asp,N,N1,,
43754,,Dx gastr intub w/asp spec,N,N1,,
43755,,Dx gastr intub w/asp specs,N,G2,1.552,$85.20
43756,,Dx duod intub w/asp spec,N,G2,9.17,$503.39
43757,,Dx duod intub w/asp specs,Y,G2,9.17,$503.39
43761,,Reposition gastrostomy tube,Y,A2,2.3809,$130.70
43762,,Rplc gtube no revj trc,Y,G2,2.3809,$130.70
43763,,Rplc gtube revj gstrst trc,Y,G2,2.3809,$130.70
43774,,Lap rmvl gastr adj all parts,Y,G2,34.1709,"$1,875.81"
43870,,Repair stomach opening,Y,A2,34.1709,"$1,875.81"
43886,,Revise gastric port open,Y,G2,35.6558,"$1,957.33"
43887,,Remove gastric port open,N,G2,17.8722,$981.09
43888,,Change gastric port open,Y,G2,35.6558,"$1,957.33"
44100,,Biopsy of bowel,Y,A2,9.17,$503.39
44312,,Revision of ileostomy,Y,A2,35.6558,"$1,957.33"
44340,,Revision of colostomy,Y,A2,35.6558,"$1,957.33"
44360,,Small bowel endoscopy,Y,A2,15.7418,$864.15
44361,,Small bowel endoscopy/biopsy,Y,A2,15.7418,$864.15
