"Durable Medical Equipment,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*** Non-continental areas ***,,,,
"Prosthetics, Orthotics, and Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Not subject to ceiling and floor),,,,
(DMEPOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2025 Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCPCS,Mod,Mod2,JURIS,CATG,Ceiling,Floor,AL (NR),AL (R),AR (NR),AR (R),AZ (NR),AZ (R),CA (NR),CA (R),CO (NR),CO (R),CT (NR),CT (R),DC (NR),DC (R),DE (NR),DE (R),FL (NR),FL (R),GA (NR),GA (R),IA (NR),IA (R),ID (NR),ID (R),IL (NR),IL (R),IN (NR),IN (R),KS (NR),KS (R),KY (NR),KY (R),LA (NR),LA (R),MA (NR),MA (R),MD (NR),MD (R),ME (NR),ME (R),MI (NR),MI (R),MN (NR),MN (R),MO (NR),MO (R),MS (NR),MS (R),MT (NR),MT (R),NC (NR),NC (R),ND (NR),ND (R),NE (NR),NE (R),NH (NR),NH (R),NJ (NR),NJ (R),NM (NR),NM (R),NV (NR),NV (R),NY (NR),NY (R),OH (NR),OH (R),OK (NR),OK (R),OR (NR),OR (R),PA (NR),PA (R),RI (NR),RI (R),SC (NR),SC (R),SD (NR),SD (R),TN (NR),TN (R),TX (NR),TX (R),UT (NR),UT (R),VA (NR),VA (R),VT (NR),VT (R),WA (NR),WA (R),WI (NR),WI (R),WV (NR),WV (R),WY (NR),WY (R),AK (NR),AK (R),HI (NR),HI (R),PR (NR),PR (R),VI (NR),VI (R),Description
E2220,UE,,D,IN,0.00,0.00,26.45,27.00,26.45,29.46,24.63,29.46,24.89,29.46,26.39,29.46,27.72,28.99,24.27,25.92,24.27,29.46,26.45,29.46,26.45,29.46,25.91,29.46,26.39,29.46,25.19,29.46,25.19,26.52,25.91,26.76,25.92,25.92,26.45,29.46,27.72,29.46,24.27,29.46,27.72,29.46,25.19,25.92,25.91,26.52,25.91,28.63,26.45,29.46,25.92,25.92,26.45,29.46,25.91,27.29,25.91,28.15,25.92,25.92,24.27,29.40,24.63,29.46,24.89,29.46,24.27,25.92,25.19,25.92,24.63,29.46,24.89,25.92,24.27,25.92,27.72,29.46,26.45,29.46,25.91,27.10,26.45,29.46,24.63,25.92,26.39,28.20,26.45,29.46,25.92,25.92,24.89,29.46,25.19,29.46,26.45,27.00,26.39,27.29,33.38,0.00,31.39,0.00,48.65,0.00,25.92,0.00,"Solid propuls tire, repl, ea"
E2220,UE,KU,D,IN,30.48,25.91,27.00,0.00,30.48,0.00,30.48,0.00,30.48,0.00,30.48,0.00,29.55,0.00,25.91,0.00,30.48,0.00,30.48,0.00,30.48,0.00,30.48,0.00,30.48,0.00,30.48,0.00,26.53,0.00,26.76,0.00,25.91,0.00,30.48,0.00,30.48,0.00,30.48,0.00,30.48,0.00,25.91,0.00,26.53,0.00,28.82,0.00,30.48,0.00,25.91,0.00,30.48,0.00,27.30,0.00,28.17,0.00,25.91,0.00,30.36,0.00,30.48,0.00,30.48,0.00,25.91,0.00,25.91,0.00,30.48,0.00,25.91,0.00,25.91,0.00,30.48,0.00,30.48,0.00,27.10,0.00,30.48,0.00,25.91,0.00,28.21,0.00,30.48,0.00,25.91,0.00,30.48,0.00,30.48,0.00,27.00,0.00,27.30,0.00,37.75,0.00,33.82,0.00,68.30,0.00,25.91,0.00,"Solid propuls tire, repl, ea"
E2221,NU,,D,IN,0.00,0.00,31.32,35.13,31.32,35.13,30.76,34.83,29.72,34.83,31.31,35.13,32.45,35.13,30.58,35.13,30.58,35.13,31.32,35.13,31.32,35.13,31.71,34.83,31.31,34.83,33.06,35.13,33.06,35.13,31.71,34.83,31.32,35.13,31.32,35.13,32.45,35.13,30.58,35.13,32.45,35.13,33.06,35.13,31.71,35.13,31.71,35.13,31.32,35.13,31.31,34.83,31.32,35.13,31.71,34.83,31.71,34.83,32.45,35.13,30.58,35.13,30.76,35.13,29.72,34.83,30.58,35.13,33.06,35.13,30.76,35.13,29.72,34.83,30.58,35.13,32.45,35.13,31.32,35.13,31.71,34.83,31.32,35.13,30.76,35.13,31.31,35.13,31.32,35.13,32.45,35.13,29.72,35.13,33.06,35.13,31.32,35.13,31.31,34.83,34.83,0.00,34.83,0.00,38.70,0.00,35.13,0.00,"Solid caster tire repl, each"
E2221,NU,KU,D,IN,35.70,30.35,35.70,0.00,35.70,0.00,35.09,0.00,35.09,0.00,35.70,0.00,35.70,0.00,35.70,0.00,35.70,0.00,35.70,0.00,35.70,0.00,35.09,0.00,35.09,0.00,35.70,0.00,35.70,0.00,35.09,0.00,35.70,0.00,35.70,0.00,35.70,0.00,35.70,0.00,35.70,0.00,35.70,0.00,35.70,0.00,35.70,0.00,35.70,0.00,35.09,0.00,35.70,0.00,35.09,0.00,35.09,0.00,35.70,0.00,35.70,0.00,35.70,0.00,35.09,0.00,35.70,0.00,35.70,0.00,35.70,0.00,35.09,0.00,35.70,0.00,35.70,0.00,35.70,0.00,35.09,0.00,35.70,0.00,35.70,0.00,35.70,0.00,35.70,0.00,35.70,0.00,35.70,0.00,35.70,0.00,35.70,0.00,35.09,0.00,35.09,0.00,35.09,0.00,42.83,0.00,35.70,0.00,"Solid caster tire repl, each"
E2221,RR,,D,IN,0.00,0.00,3.13,3.54,3.13,3.54,3.08,3.47,2.97,3.47,3.13,3.54,3.24,3.54,3.06,3.54,3.06,3.54,3.13,3.54,3.13,3.54,3.17,3.47,3.13,3.47,3.31,3.54,3.31,3.54,3.17,3.47,3.13,3.54,3.13,3.54,3.24,3.54,3.06,3.54,3.24,3.54,3.31,3.54,3.17,3.54,3.17,3.54,3.13,3.54,3.13,3.47,3.13,3.54,3.17,3.47,3.17,3.47,3.24,3.54,3.06,3.54,3.08,3.54,2.97,3.47,3.06,3.54,3.31,3.54,3.08,3.54,2.97,3.47,3.06,3.54,3.24,3.54,3.13,3.54,3.17,3.47,3.13,3.54,3.08,3.54,3.13,3.54,3.13,3.54,3.24,3.54,2.97,3.54,3.31,3.54,3.13,3.54,3.13,3.47,3.47,0.00,3.47,0.00,3.88,0.00,3.54,0.00,"Solid caster tire repl, each"
E2221,RR,KU,D,IN,3.62,3.08,3.62,0.00,3.62,0.00,3.49,0.00,3.49,0.00,3.62,0.00,3.62,0.00,3.62,0.00,3.62,0.00,3.62,0.00,3.62,0.00,3.49,0.00,3.49,0.00,3.62,0.00,3.62,0.00,3.49,0.00,3.62,0.00,3.62,0.00,3.62,0.00,3.62,0.00,3.62,0.00,3.62,0.00,3.62,0.00,3.62,0.00,3.62,0.00,3.49,0.00,3.62,0.00,3.49,0.00,3.49,0.00,3.62,0.00,3.62,0.00,3.62,0.00,3.49,0.00,3.62,0.00,3.62,0.00,3.62,0.00,3.49,0.00,3.62,0.00,3.62,0.00,3.62,0.00,3.49,0.00,3.62,0.00,3.62,0.00,3.62,0.00,3.62,0.00,3.62,0.00,3.62,0.00,3.62,0.00,3.62,0.00,3.49,0.00,3.49,0.00,3.49,0.00,4.30,0.00,3.62,0.00,"Solid caster tire repl, each"
E2221,UE,,D,IN,0.00,0.00,23.49,26.36,23.49,26.36,23.07,26.13,22.29,26.13,23.48,26.36,24.34,26.36,22.94,26.36,22.94,26.36,23.49,26.36,23.49,26.36,23.78,26.13,23.48,26.13,24.80,26.36,24.80,26.36,23.78,26.13,23.49,26.36,23.49,26.36,24.34,26.36,22.94,26.07,24.34,26.36,24.80,26.36,23.78,26.36,23.78,26.36,23.49,26.36,23.48,26.13,23.49,26.36,23.78,26.13,23.78,26.13,24.34,26.36,22.94,26.36,23.07,26.36,22.29,26.13,22.94,26.36,24.80,26.36,23.07,26.36,22.29,26.13,22.94,26.36,24.34,26.36,23.49,26.36,23.78,26.13,23.49,26.36,23.07,26.36,23.48,26.36,23.49,26.36,24.34,26.36,22.29,26.36,24.80,26.36,23.49,26.36,23.48,26.13,26.13,0.00,26.13,0.00,29.04,0.00,26.36,0.00,"Solid caster tire repl, each"
E2221,UE,KU,D,IN,26.78,22.76,26.78,0.00,26.78,0.00,26.35,0.00,26.35,0.00,26.78,0.00,26.78,0.00,26.78,0.00,26.78,0.00,26.78,0.00,26.78,0.00,26.35,0.00,26.35,0.00,26.78,0.00,26.78,0.00,26.35,0.00,26.78,0.00,26.78,0.00,26.78,0.00,26.21,0.00,26.78,0.00,26.78,0.00,26.78,0.00,26.78,0.00,26.78,0.00,26.35,0.00,26.78,0.00,26.35,0.00,26.35,0.00,26.78,0.00,26.78,0.00,26.78,0.00,26.35,0.00,26.78,0.00,26.78,0.00,26.78,0.00,26.35,0.00,26.78,0.00,26.78,0.00,26.78,0.00,26.35,0.00,26.78,0.00,26.78,0.00,26.78,0.00,26.78,0.00,26.78,0.00,26.78,0.00,26.78,0.00,26.78,0.00,26.35,0.00,26.35,0.00,26.35,0.00,32.16,0.00,26.78,0.00,"Solid caster tire repl, each"
E2222,NU,,D,IN,0.00,0.00,26.50,29.16,26.50,29.16,26.31,29.16,24.76,29.16,25.75,29.16,26.66,29.16,25.43,29.16,25.43,29.16,26.50,29.16,26.50,29.16,26.62,29.16,25.75,29.16,27.34,29.16,27.34,29.16,26.62,29.16,26.50,29.16,26.50,29.16,26.66,29.16,25.43,29.16,26.66,29.16,27.34,29.16,26.62,29.16,26.62,29.16,26.50,29.16,25.75,29.16,26.50,29.16,26.62,29.16,26.62,29.16,26.66,29.16,25.43,29.16,26.31,29.16,24.76,29.16,25.43,29.16,27.34,29.16,26.31,29.16,24.76,29.16,25.43,29.16,26.66,29.16,26.50,29.16,26.62,29.16,26.50,29.16,26.31,29.16,25.75,29.16,26.50,29.16,26.66,29.16,24.76,29.16,27.34,29.16,26.50,29.16,25.75,29.16,29.16,0.00,29.16,0.00,32.10,0.00,29.16,0.00,"Solid caster integ whl, repl"
E2222,NU,KU,D,IN,29.44,25.02,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,29.44,0.00,35.32,0.00,29.44,0.00,"Solid caster integ whl, repl"
E2222,RR,,D,IN,0.00,0.00,2.65,2.90,2.65,2.90,2.63,2.90,2.48,2.90,2.57,2.90,2.66,2.90,2.54,2.90,2.54,2.90,2.65,2.90,2.65,2.90,2.66,2.90,2.57,2.90,2.73,2.90,2.73,2.90,2.66,2.90,2.65,2.90,2.65,2.90,2.66,2.90,2.54,2.90,2.66,2.90,2.73,2.90,2.66,2.90,2.66,2.90,2.65,2.90,2.57,2.90,2.65,2.90,2.66,2.90,2.66,2.90,2.66,2.90,2.54,2.90,2.63,2.90,2.48,2.90,2.54,2.90,2.73,2.90,2.63,2.90,2.48,2.90,2.54,2.90,2.66,2.90,2.65,2.90,2.66,2.90,2.65,2.90,2.63,2.90,2.57,2.90,2.65,2.90,2.66,2.90,2.48,2.90,2.73,2.90,2.65,2.90,2.57,2.90,2.90,0.00,2.90,0.00,3.21,0.00,2.90,0.00,"Solid caster integ whl, repl"
E2222,RR,KU,D,IN,2.90,2.47,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,2.90,0.00,3.54,0.00,2.90,0.00,"Solid caster integ whl, repl"
E2222,UE,,D,IN,0.00,0.00,19.88,21.88,19.88,21.88,19.74,21.88,18.57,21.88,19.31,21.88,20.00,21.88,19.07,21.88,19.07,21.88,19.88,21.88,19.88,21.88,19.97,21.88,19.31,21.88,20.51,21.88,20.51,21.88,19.97,21.88,19.88,21.88,19.88,21.88,20.00,21.88,19.07,21.88,20.00,21.88,20.51,21.88,19.97,21.88,19.97,21.88,19.88,21.88,19.31,21.88,19.88,21.88,19.97,21.88,19.97,21.88,20.00,21.88,19.07,21.88,19.74,21.88,18.57,21.88,19.07,21.88,20.51,21.88,19.74,21.88,18.57,21.88,19.07,21.88,20.00,21.88,19.88,21.88,19.97,21.88,19.88,21.88,19.74,21.88,19.31,21.88,19.88,21.88,20.00,21.88,18.57,21.88,20.51,21.88,19.88,21.88,19.31,21.88,21.88,0.00,21.88,0.00,24.09,0.00,21.88,0.00,"Solid caster integ whl, repl"
E2222,UE,KU,D,IN,22.09,18.78,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,22.09,0.00,26.52,0.00,22.09,0.00,"Solid caster integ whl, repl"
E2224,NU,,D,IN,0.00,0.00,112.36,116.45,112.36,129.87,106.65,116.45,101.60,116.45,112.16,129.87,122.74,129.87,106.81,129.05,106.81,129.87,112.36,129.87,112.36,116.45,114.05,129.87,112.16,125.96,109.38,116.45,109.38,129.87,114.05,129.87,112.36,116.45,112.36,119.06,122.74,129.87,106.81,129.87,122.74,129.87,109.38,116.45,114.05,129.87,114.05,129.87,112.36,123.47,112.16,129.87,112.36,128.13,114.05,129.87,114.05,129.87,122.74,129.87,106.81,129.87,106.65,129.87,101.60,116.45,106.81,120.00,109.38,116.45,106.65,129.87,101.60,129.87,106.81,116.45,122.74,129.87,112.36,116.45,114.05,129.87,112.36,126.10,106.65,116.45,112.16,116.45,112.36,116.45,122.74,129.87,101.60,116.45,109.38,129.87,112.36,116.45,112.16,129.87,95.74,0.00,102.36,0.00,147.45,0.00,120.00,0.00,Propulsion whl excl tire rep
E2224,NU,KU,D,IN,137.01,116.46,116.46,0.00,137.01,0.00,116.46,0.00,116.46,0.00,137.01,0.00,137.01,0.00,135.36,0.00,137.01,0.00,137.01,0.00,116.46,0.00,137.01,0.00,129.18,0.00,116.46,0.00,137.01,0.00,137.01,0.00,116.46,0.00,119.06,0.00,137.01,0.00,137.01,0.00,137.01,0.00,116.46,0.00,137.01,0.00,137.01,0.00,124.20,0.00,137.01,0.00,133.51,0.00,137.01,0.00,137.01,0.00,137.01,0.00,137.01,0.00,137.01,0.00,116.46,0.00,119.99,0.00,116.46,0.00,137.01,0.00,137.01,0.00,116.46,0.00,137.01,0.00,116.46,0.00,137.01,0.00,129.45,0.00,116.46,0.00,116.46,0.00,116.46,0.00,137.01,0.00,116.46,0.00,137.01,0.00,116.46,0.00,137.01,0.00,95.74,0.00,102.37,0.00,172.14,0.00,119.99,0.00,Propulsion whl excl tire rep
E2224,RR,,D,IN,0.00,0.00,11.24,12.22,11.24,13.32,10.67,13.32,10.16,12.22,11.22,13.32,12.27,13.32,10.68,12.92,10.68,13.32,11.24,13.32,11.24,12.22,11.41,12.22,11.22,12.59,10.94,12.22,10.94,13.32,11.41,13.32,11.24,12.22,11.24,12.22,12.27,13.32,10.68,13.32,12.27,13.32,10.94,12.22,11.41,13.32,11.41,13.32,11.24,12.35,11.22,13.12,11.24,12.82,11.41,13.32,11.41,13.32,12.27,13.32,10.68,13.32,10.67,13.00,10.16,13.32,10.68,12.22,10.94,12.22,10.67,13.00,10.16,13.32,10.68,12.22,12.27,13.32,11.24,12.22,11.41,13.32,11.24,12.60,10.67,12.22,11.22,12.22,11.24,12.22,12.27,13.32,10.16,13.32,10.94,13.32,11.24,12.22,11.22,13.32,9.55,0.00,10.25,0.00,16.89,0.00,12.22,0.00,Propulsion whl excl tire rep
E2224,RR,KU,D,IN,14.39,12.23,12.23,0.00,14.39,0.00,14.39,0.00,12.23,0.00,14.39,0.00,14.39,0.00,13.57,0.00,14.39,0.00,14.39,0.00,12.23,0.00,12.23,0.00,12.91,0.00,12.23,0.00,14.39,0.00,14.39,0.00,12.23,0.00,12.23,0.00,14.39,0.00,14.39,0.00,14.39,0.00,12.23,0.00,14.39,0.00,14.39,0.00,12.43,0.00,13.96,0.00,13.36,0.00,14.39,0.00,14.39,0.00,14.39,0.00,14.39,0.00,13.73,0.00,14.39,0.00,12.23,0.00,12.23,0.00,13.73,0.00,14.39,0.00,12.23,0.00,14.39,0.00,12.23,0.00,14.39,0.00,12.92,0.00,12.23,0.00,12.23,0.00,12.23,0.00,14.39,0.00,14.39,0.00,14.39,0.00,12.23,0.00,14.39,0.00,9.56,0.00,10.26,0.00,21.50,0.00,12.23,0.00,Propulsion whl excl tire rep
E2224,UE,,D,IN,0.00,0.00,84.27,87.35,84.27,97.41,79.99,87.35,76.20,87.35,84.12,97.41,92.06,97.41,80.11,96.78,80.11,97.41,84.27,97.41,84.27,87.35,85.54,87.35,84.12,94.48,82.04,87.35,82.04,97.41,85.54,97.41,84.27,87.35,84.27,89.30,92.06,97.41,80.11,97.41,92.06,97.41,82.04,87.35,85.54,97.41,85.54,97.41,84.27,92.60,84.12,97.41,84.27,96.10,85.54,97.41,85.54,97.41,92.06,97.41,80.11,97.41,79.99,97.41,76.20,87.35,80.11,89.99,82.04,87.35,79.99,97.41,76.20,97.41,80.11,87.35,92.06,97.41,84.27,87.35,85.54,97.41,84.27,94.59,79.99,87.35,84.12,87.35,84.27,87.35,92.06,97.41,76.20,87.35,82.04,97.41,84.27,87.35,84.12,97.41,71.80,0.00,76.75,0.00,110.59,0.00,89.99,0.00,Propulsion whl excl tire rep
E2224,UE,KU,D,IN,102.76,87.35,87.35,0.00,102.76,0.00,87.35,0.00,87.35,0.00,102.76,0.00,102.76,0.00,101.49,0.00,102.76,0.00,102.76,0.00,87.35,0.00,87.35,0.00,96.91,0.00,87.35,0.00,102.76,0.00,102.76,0.00,87.35,0.00,89.28,0.00,102.76,0.00,102.76,0.00,102.76,0.00,87.35,0.00,102.76,0.00,102.76,0.00,93.16,0.00,102.76,0.00,100.14,0.00,102.76,0.00,102.76,0.00,102.76,0.00,102.76,0.00,102.76,0.00,87.35,0.00,90.00,0.00,87.35,0.00,102.76,0.00,102.76,0.00,87.35,0.00,102.76,0.00,87.35,0.00,102.76,0.00,97.12,0.00,87.35,0.00,87.35,0.00,87.35,0.00,102.76,0.00,87.35,0.00,102.76,0.00,87.35,0.00,102.76,0.00,71.80,0.00,76.76,0.00,129.14,0.00,90.00,0.00,Propulsion whl excl tire rep
E2225,NU,,D,IN,0.00,0.00,21.74,24.32,21.74,24.32,21.98,24.32,21.11,24.32,22.22,24.32,23.08,24.32,21.22,24.32,21.22,24.32,21.74,24.32,21.74,24.32,22.93,24.32,22.22,24.32,22.90,24.32,22.90,24.32,22.93,24.32,21.74,24.32,21.74,24.32,23.08,24.32,21.22,24.32,23.08,24.32,22.90,24.32,22.93,24.32,22.93,24.32,21.74,24.32,22.22,24.32,21.74,24.32,22.93,24.32,22.93,24.32,23.08,24.32,21.22,24.32,21.98,24.32,21.11,24.32,21.22,24.32,22.90,24.32,21.98,24.32,21.11,24.32,21.22,24.32,23.08,24.32,21.74,24.32,22.93,24.32,21.74,24.32,21.98,24.32,22.22,24.32,21.74,24.32,23.08,24.32,21.11,24.32,22.90,24.32,21.74,24.32,22.22,24.32,24.32,0.00,24.32,0.00,26.77,0.00,24.32,0.00,Caster wheel excludes tire
E2225,NU,KU,D,IN,24.30,20.66,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,24.30,0.00,29.18,0.00,24.30,0.00,Caster wheel excludes tire
E2225,RR,,D,IN,0.00,0.00,2.17,2.43,2.17,2.43,2.20,2.43,2.11,2.43,2.22,2.43,2.31,2.43,2.12,2.43,2.12,2.43,2.17,2.43,2.17,2.43,2.29,2.43,2.22,2.43,2.29,2.43,2.29,2.43,2.29,2.43,2.17,2.43,2.17,2.43,2.31,2.43,2.12,2.43,2.31,2.43,2.29,2.43,2.29,2.43,2.29,2.43,2.17,2.43,2.22,2.43,2.17,2.43,2.29,2.43,2.29,2.43,2.31,2.43,2.12,2.43,2.20,2.43,2.11,2.43,2.12,2.43,2.29,2.43,2.20,2.43,2.11,2.43,2.12,2.43,2.31,2.43,2.17,2.43,2.29,2.43,2.17,2.43,2.20,2.43,2.22,2.43,2.17,2.43,2.31,2.43,2.11,2.43,2.29,2.43,2.17,2.43,2.22,2.43,2.43,0.00,2.43,0.00,2.67,0.00,2.43,0.00,Caster wheel excludes tire
E2225,RR,KU,D,IN,2.41,2.05,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.89,0.00,2.41,0.00,Caster wheel excludes tire
E2225,UE,,D,IN,0.00,0.00,16.30,18.21,16.30,18.21,16.49,18.21,15.83,18.21,16.66,18.21,17.31,18.21,15.92,18.21,15.92,18.21,16.30,18.21,16.30,18.21,17.19,18.21,16.66,18.21,17.18,18.21,17.18,18.21,17.19,18.21,16.30,18.21,16.30,18.21,17.31,18.21,15.92,18.21,17.31,18.21,17.18,18.21,17.19,18.21,17.19,18.21,16.30,18.21,16.66,18.21,16.30,18.21,17.19,18.21,17.19,18.21,17.31,18.21,15.92,18.21,16.49,18.21,15.83,18.21,15.92,18.21,17.18,18.21,16.49,18.21,15.83,18.21,15.92,18.21,17.31,18.21,16.30,18.21,17.19,18.21,16.30,18.21,16.49,18.21,16.66,18.21,16.30,18.21,17.31,18.21,15.83,18.21,17.18,18.21,16.30,18.21,16.66,18.21,18.21,0.00,18.21,0.00,20.06,0.00,18.21,0.00,Caster wheel excludes tire
E2225,UE,KU,D,IN,18.22,15.49,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,18.22,0.00,21.84,0.00,18.22,0.00,Caster wheel excludes tire
E2226,NU,,D,IN,0.00,0.00,46.29,52.04,46.29,52.04,45.76,52.04,44.02,52.04,46.05,52.04,47.79,52.04,45.42,52.04,45.42,52.04,46.29,52.04,46.29,52.04,46.66,52.04,46.05,52.04,48.82,52.04,48.82,52.04,46.66,52.04,46.29,52.04,46.29,52.04,47.79,52.04,45.42,52.04,47.79,52.04,48.82,52.04,46.66,52.04,46.66,52.04,46.29,52.04,46.05,52.04,46.29,52.04,46.66,52.04,46.66,52.04,47.79,52.04,45.42,52.04,45.76,52.04,44.02,52.04,45.42,52.04,48.82,52.04,45.76,52.04,44.02,52.04,45.42,52.04,47.79,52.04,46.29,52.04,46.66,52.04,46.29,52.04,45.76,52.04,46.05,52.04,46.29,52.04,47.79,52.04,44.02,52.04,48.82,52.04,46.29,52.04,46.05,52.04,52.69,0.00,52.69,0.00,58.00,0.00,52.69,0.00,Caster fork replacement only
